Dataset Name,Link,Paper Link,Source / Institutions (Location),Ethics Approval,Is Age Explicitly Documented,Age Documented How,Is Age Complete,Patient Demographics / Covariates / Metadata,Sample Size,Imaging Modality(ies),Peds vs. Adult,Organ / Body Part
ds000030,https://openneuro.org/datasets/ds000030/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 33.23 years
Age Range: 21.00 to 50.00 years","Patients: 272
Sequences: 272",MRI,Adult,Brain
ds000031,https://openneuro.org/datasets/ds000031/versions/2.0.2,,,"The University of Texas Office of Research Support reviewed the procedure for collecting the primary subject data and determined that it did not meet the requirements for human subjects research as defined by the Common Rule (45 CFR 46) or FDA Regulations (21 CFR 50 and 56), and thus, institutional review board (IRB) approval was not necessary. ",True,Patient-Level,True,"Avg. Age: 46.00 years
Age Range: 46.00 to 46.00 years","Patients: 1
Sequences: 1",MRI,Adult,Brain
ds000051,https://openneuro.org/datasets/ds000051/versions/00001,,,,False,,,,"Patients: 13
Sequences: 13",MRI,,Brain
ds000052,https://openneuro.org/datasets/ds000052/versions/00001,,,,False,,,,"Patients: 13
Sequences: 13",MRI,,Brain
ds000053,https://openneuro.org/datasets/ds000053/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 22.92 years
Age Range: 18.00 to 30.00 years","Patients: 59
Sequences: 59",MRI,Adult,Brain
ds000101,https://openneuro.org/datasets/ds000101/versions/00004,,,,True,Patient-Level,True,"Avg. Age: 30.54 years
Age Range: 21.16 to 49.16 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds000102,https://openneuro.org/datasets/ds000102/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 28.34 years
Age Range: 19.65 to 49.79 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds000105,https://openneuro.org/datasets/ds000105/versions/3.0.0,,,,False,,,,"Patients: 6
Sequences: 6",MRI,,Brain
ds000107,https://openneuro.org/datasets/ds000107/versions/00001,,,,False,,,,"Patients: 49
Sequences: 49",MRI,,Brain
ds000108,https://openneuro.org/datasets/ds000108/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 22.18 years
Age Range: 18.00 to 41.00 years","Patients: 34
Sequences: 34",MRI,Adult,Brain
ds000109,https://openneuro.org/datasets/ds000109/versions/2.0.2,,,,True,Patient-Level,True,"Avg. Age: 40.27 years
Age Range: 18.00 to 88.00 years","Patients: 48
Sequences: 48",MRI,Adult,Brain
ds000110,https://openneuro.org/datasets/ds000110/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 20.44 years
Age Range: 18.00 to 27.00 years","Patients: 18
Sequences: 18",MRI,Adult,Brain
ds000113,https://openneuro.org/datasets/ds000113/versions/1.3.0,,,,True,Patient-Level,True,"Avg. Age: 23.06 years
Age Range: 15.00 to 35.00 years","Patients: 36
Sequences: 36",MRI,"Peds, Adult (>94.44%)",Brain
ds000114,https://openneuro.org/datasets/ds000114/versions/1.0.2,,,,False,,,,"Patients: 10
Sequences: 10",MRI,,Brain
ds000115,https://openneuro.org/datasets/ds000115/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 22.91 years
Age Range: 11.67 to 30.79 years","Patients: 99
Sequences: 99",MRI,"Peds, Adult (>87.87%)",Brain
ds000116,https://openneuro.org/datasets/ds000116/versions/00003,,,,True,Patient-Level,True,"Avg. Age: 27.71 years
Age Range: 20.00 to 40.00 years","Patients: 17
Sequences: 17",MRI,Adult,Brain
ds000117,https://openneuro.org/datasets/ds000117/versions/1.0.6,,,,True,Patient-Level,True,"Avg. Age: 26.38 years
Age Range: 23.00 to 31.00 years","Patients: 16
Sequences: 16",MRI,Adult,Brain
ds000119,https://openneuro.org/datasets/ds000119/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 16.20 years
Age Range: 8.14 to 26.76 years","Patients: 73
Sequences: 73",MRI,"Peds, Adult (>36.98%)",Brain
ds000120,https://openneuro.org/datasets/ds000120/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 16.90 years
Age Range: 8.80 to 25.60 years","Patients: 26
Sequences: 26",MRI,"Peds, Adult (>38.46%)",Brain
ds000121,https://openneuro.org/datasets/ds000121/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 20.25 years
Age Range: 9.80 to 68.39 years","Patients: 28
Sequences: 28",MRI,"Peds, Adult (>57.14%)",Brain
ds000122,https://openneuro.org/datasets/ds000122/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 29.41 years
Age Range: 22.00 to 41.00 years","Patients: 17
Sequences: 17",MRI,Adult,Brain
ds000133,https://openneuro.org/datasets/ds000133/versions/00001,,,,False,,,,"Patients: 26
Sequences: 26",MRI,,Brain
ds000140,https://openneuro.org/datasets/ds000140/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 27.73 years
Age Range: 19.00 to 55.00 years","Patients: 33
Sequences: 33",MRI,Adult,Brain
ds000144,https://openneuro.org/datasets/ds000144/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 7.18 years
Age Range: 6.00 to 10.00 years","Patients: 45
Sequences: 45",MRI,Peds,Brain
ds000148,https://openneuro.org/datasets/ds000148/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 21.88 years
Age Range: 19.00 to 25.00 years","Patients: 49
Sequences: 49",MRI,Adult,Brain
ds000149,https://openneuro.org/datasets/ds000149/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 24.27 years
Age Range: 18.00 to 33.00 years","Patients: 15
Sequences: 15",MRI,Adult,Brain
ds000157,https://openneuro.org/datasets/ds000157/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 22.10 years
Age Range: 19.00 to 26.00 years","Patients: 30
Sequences: 30",MRI,Adult,Brain
ds000158,https://openneuro.org/datasets/ds000158/versions/1.0.0,,,,False,,,,"Patients: 217
Sequences: 217",MRI,,Brain
ds000164,https://openneuro.org/datasets/ds000164/versions/00001,,,,False,,,,"Patients: 28
Sequences: 28",MRI,,Brain
ds000168,https://openneuro.org/datasets/ds000168/versions/1.0.0,,,,True,Patient-Level,False,"Avg. Age: 19.20 years
Age Range: 18.00 to 21.00 years","Patients: 35
Sequences: 35",MRI,Adult,Brain
ds000170,https://openneuro.org/datasets/ds000170/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 25.40 years
Age Range: 19.00 to 35.00 years","Patients: 15
Sequences: 15",MRI,Adult,Brain
ds000171,https://openneuro.org/datasets/ds000171/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 31.44 years
Age Range: 18.00 to 59.00 years","Patients: 39
Sequences: 39",MRI,Adult,Brain
ds000172,https://openneuro.org/datasets/ds000172/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 26.42 years
Age Range: 24.00 to 30.60 years","Patients: 12
Sequences: 12",MRI,Adult,Brain
ds000174,https://openneuro.org/datasets/ds000174/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 21.07 years
Age Range: 17.66 to 26.04 years","Patients: 42
Sequences: 42",MRI,"Peds, Adult (>95.23%)",Brain
ds000200,https://openneuro.org/datasets/ds000200/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 14.57 years
Age Range: 12.00 to 19.00 years","Patients: 14
Sequences: 14",MRI,"Peds, Adult (>14.28%)",Brain
ds000201,https://openneuro.org/datasets/ds000201/versions/1.0.3,,,,False,,,,"Patients: 86
Sequences: 86",MRI,,Brain
ds000202,https://openneuro.org/datasets/ds000202/versions/00001,,"=
Peter Van Schuerbeek, UZ Brussel – VUB, department of Radiology, Brussels, Belgium
Chris Baeken, Ghent University, Department of psychiatry and medical psychology, Ghent, Belgium
Johan De Mey, UZ Brussel – VUB, Department of Radiology, Brussels, Belgium",,True,Patient-Level,True,"Avg. Age: 22.14 years
Age Range: 18.00 to 30.00 years","Patients: 95
Sequences: 95",MRI,Adult,Brain
ds000203,https://openneuro.org/datasets/ds000203/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 37.31 years
Age Range: 24.00 to 60.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds000204,https://openneuro.org/datasets/ds000204/versions/00002,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds000205,https://openneuro.org/datasets/ds000205/versions/00001,,,,False,,,,"Patients: 11
Sequences: 11",MRI,,Brain
ds000206,https://openneuro.org/datasets/ds000206/versions/1.0.0,,,,False,,,,"Patients: 6
Sequences: 6",MRI,,Brain
ds000208,https://openneuro.org/datasets/ds000208/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 57.91 years
Age Range: 44.00 to 78.00 years","Patients: 76
Sequences: 76",MRI,Adult,Brain
ds000210,https://openneuro.org/datasets/ds000210/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 22.39 years
Age Range: 18.00 to 31.00 years","Patients: 31
Sequences: 31",MRI,Adult,Brain
ds000212,https://openneuro.org/datasets/ds000212/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 30.33 years
Age Range: 19.00 to 50.00 years","Patients: 39
Sequences: 39",MRI,Adult,Brain
ds000213,https://openneuro.org/datasets/ds000213/versions/00002,,,,False,,,,"Patients: 26
Sequences: 26",MRI,,Brain
ds000214,https://openneuro.org/datasets/ds000214/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 34.94 years
Age Range: 20.00 to 51.00 years","Patients: 36
Sequences: 36",MRI,Adult,Brain
ds000216,https://openneuro.org/datasets/ds000216/versions/00001,,,,False,,,,"Patients: 7
Sequences: 7",MRI,,Brain
ds000217,https://openneuro.org/datasets/ds000217/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 22.76 years
Age Range: 18.00 to 31.00 years","Patients: 41
Sequences: 41",MRI,Adult,Brain
ds000218,https://openneuro.org/datasets/ds000218/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 24.00 years
Age Range: 19.00 to 32.00 years","Patients: 19
Sequences: 19",MRI,Adult,Brain
ds000219,https://openneuro.org/datasets/ds000219/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 22.52 years
Age Range: 19.00 to 27.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds000220,https://openneuro.org/datasets/ds000220/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 28.42 years
Age Range: 18.00 to 52.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds000221,https://openneuro.org/datasets/ds000221/versions/1.0.0,,"# LEMON QUESTIONNAIRES/TASKS [not yet released]

California Verbal Learning Test (CVLT)
Testbatterie zur Aufmerksamkeitsprüfung (TAP Alertness, Incompatibility, Working Memory)
Trail Marking Test (TMT)
Wortschatztest (WST)
Leistungsprüfungssystem 2 (LPS-2)
Regensburger Wortflüssigkeitstest (RWT)

NEO Five-Factor Inventory (NEO-FFI)
Impulsive Behavior Scale (UPPS)
Behavioral Inhibition and Approach System (BISBAS)
Cognitive Emotion Regulation Questionnaire (CERQ)
Measure of Affective Style (MARS)
Fragebogen zur Sozialen Unterstützung (F-SozU K)
The Multidimensional Scale of Perceived Social Support (MSPSS)
Coping Orientations to Problems Experienced (COPE)
Life Orientation Test-Revised (LOT-R)
Perceived Stress Questionnaire (PSQ)
the Trier Inventory of Chronic Stress (TICS)
The three-factor eating questionnaire (TFEQ)
Yale Food Addiction Scale (YFAS)
The Trait Emotional Intelligence Questionnaire (TEIQue-SF)
Trait Scale of the State-Trait Anxiety Inventory (STAI)
State-Trait Anger expression Inventory (STAXI)
Toronto-Alexithymia Scale (TAS)
Multidimensional Mood Questionnaire (MDMQ)
New York Cognition Questionnaire (NYC-Q)

# N&C QUESTIONNAIRES
Adult Self Report (ASR)
Goldsmiths Musical Sophistication Index (Gold-MSI)
Internet Addiction Test (IAT)
Involuntary Musical Imagery Scale (IMIS)
Multi-Gender Identity Questionnaire (MGIQ)
Brief Self-Control Scale (SCS)
Short Dark Triad (SD3)
Social Desirability Scale-17 (SDS)
Self-Esteem Scale (SE)
Tuckman Procrastination Scale (TPS)
Varieties of Inner Speech (VISQ)
UPPS-P Impulsive Behavior Scale (UPPS-P)
Attention Control Scale (ACS)
Beck's Depression Inventory-II (BDI)
Boredom Proneness Scale (BP)
Esworth Sleepiness Scale (ESS)
Hospital Anxiety and Depression Scale (HADS)
Multimedia Multitasking Index (MMI)
Mobile Phone Usage (MPU)
Personality Style and Disorder Inventory (PSSI)
Spontaneous and Deliberate Mind-Wandering (S-D-MW)
Short New York Cognition Scale (Short-NYC-Q)
New York Cognition Scale (NYC-Q)
Abbreviated Math Anxiety Scale (AMAS)
Behavioral Inhibition and Approach System (BIS/BAS)
NEO Personality Inventory Revised (NEO-PI-R)
Body Consciousness Questionnaire (BCQ)
Creative achievement questionnaire (CAQ)
Five facets of mindfulness (FFMQ)
Metacognition (MCQ-30)

# N&C TASKS
Conjunctive continuous performance task (CCPT)
Emotional task switching (ETS)
Adaptive visual and auditory oddball target detection task (Oddball)
Alternative uses task (AUT)
Remote associates test (RAT)
Synesthesia color picker test (SYN)
Test of creative imagery abilities (TCIA)


### Comments added by Openfmri Curators ###
===========================================

General Comments
----------------


Defacing
--------
Pydeface was used on all anatomical images to ensure deindentification of subjects",,True,Patient-Level,False,"Avg. Age: 34.78 years
Age Range: 20.00 to 75.00 years","Patients: 318
Sequences: 318",MRI,Adult,Brain
ds000222,https://openneuro.org/datasets/ds000222/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 44.43 years
Age Range: 21.00 to 73.00 years","Patients: 79
Sequences: 79",MRI,Adult,Brain
ds000223,https://openneuro.org/datasets/ds000223/versions/00001,,,,False,,,,"Patients: 19
Sequences: 19",MRI,,Brain
ds000224,https://openneuro.org/datasets/ds000224/versions/1.0.4,,,,True,Patient-Level,True,"Avg. Age: 29.10 years
Age Range: 24.00 to 34.00 years","Patients: 10
Sequences: 10",MRI,Adult,Brain
ds000228,https://openneuro.org/datasets/ds000228/versions/1.1.1,,,,True,Patient-Level,True,"Avg. Age: 10.56 years
Age Range: 3.52 to 39.00 years","Patients: 155
Sequences: 155",MRI,"Peds, Adult (>21.29%)",Brain
ds000229,https://openneuro.org/datasets/ds000229/versions/00001,https://doi.org/10.1016/j.cub.2017.07.018,4 kg/m2) consented to our study that was approved by Yale University School of Medicine Human Investigation Committee,,True,Patient-Level,True,"Avg. Age: 24.33 years
Age Range: 19.00 to 31.00 years","Patients: 15
Sequences: 15",MRI,Adult,Brain
ds000231,https://openneuro.org/datasets/ds000231/versions/1.0.0,https://doi.org/10.1016/j.cub.2017.07.018,,,True,Patient-Level,True,"Avg. Age: 24.62 years
Age Range: 18.70 to 34.90 years","Patients: 9
Sequences: 9",MRI,Adult,Brain
ds000232,https://openneuro.org/datasets/ds000232/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 29.90 years
Age Range: 22.00 to 38.00 years","Patients: 10
Sequences: 10",MRI,Adult,Brain
ds000234,https://openneuro.org/datasets/ds000234/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 35.20 years
Age Range: 27.00 to 55.00 years","Patients: 5
Sequences: 5",MRI,Adult,Brain
ds000235,https://openneuro.org/datasets/ds000235/versions/2.0.1,,,,True,Patient-Level,True,"Avg. Age: 43.00 years
Age Range: 21.00 to 65.00 years","Patients: 4
Sequences: 4",MRI,Adult,Brain
ds000236,https://openneuro.org/datasets/ds000236/versions/2.0.1,,,,True,Patient-Level,True,"Avg. Age: 74.33 years
Age Range: 61.00 to 89.00 years","Patients: 18
Sequences: 18",MRI,Adult,Brain
ds000237,https://openneuro.org/datasets/ds000237/versions/1.0.0,,,,False,,,,"Patients: 13
Sequences: 13",MRI,,Brain
ds000238,https://openneuro.org/datasets/ds000238/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 21.57 years
Age Range: 18.00 to 35.00 years","Patients: 35
Sequences: 35",MRI,Adult,Brain
ds000239,https://openneuro.org/datasets/ds000239/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 29.00 years
Age Range: 26.00 to 31.00 years","Patients: 3
Sequences: 3",MRI,Adult,Brain
ds000240,https://openneuro.org/datasets/ds000240/versions/2.0.0,,,,True,Patient-Level,True,"Avg. Age: 48.98 years
Age Range: 19.00 to 84.00 years","Patients: 63
Sequences: 63",MRI,Adult,Brain
ds000241,https://openneuro.org/datasets/ds000241/versions/00002,,,,False,,,,"Patients: 12
Sequences: 12",MRI,,Brain
ds000243,https://openneuro.org/datasets/ds000243/versions/00001,,"Included for each subject is a T1-weighted anatomical image (MP-RAGE) and one or more T2*-weighted scans (resting state BOLD scans)

All subjects
	- were “typical” young adults that reported no significant neurological or psychiatric history
	- were right-handed and reported that English was their first language
	- were scanned at Washington University in Saint Louis on a Siemens MAGNETOM Tim Trio 3T scanner with a Siemens 12-channel head coil
	- were scanned using interleaved ascending product sequences for T2* data
	- were scanned in the eyes-open resting state fixating a white crosshair on a black background

The data have been described in multiple publications from the Petersen/Schlaggar group,
	- beginning with Power et al",,True,Patient-Level,True,"Avg. Age: 24.74 years
Age Range: 18.56 to 31.73 years","Patients: 120
Sequences: 120",MRI,Adult,Brain
ds000244,https://openneuro.org/datasets/ds000244/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 33.33 years
Age Range: 26.00 to 40.00 years","Patients: 12
Sequences: 12",MRI,Adult,Brain
ds000245,https://openneuro.org/datasets/ds000245/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 66.16 years
Age Range: 52.00 to 78.00 years","Patients: 45
Sequences: 45",MRI,Adult,Brain
ds000246,https://openneuro.org/datasets/ds000246/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 25.00 years
Age Range: 25.00 to 25.00 years","Patients: 1
Sequences: 1",MRI,Adult,Brain
ds000247,https://openneuro.org/datasets/ds000247/versions/1.0.2,https://doi.org/10.1016/j.neuroimage.2015.04.028,,,True,Patient-Level,True,"Avg. Age: 27.40 years
Age Range: 21.00 to 35.00 years","Patients: 5
Sequences: 5",MRI,Adult,Brain
ds000248,https://openneuro.org/datasets/ds000248/versions/1.2.4,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds000249,https://openneuro.org/datasets/ds000249/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 25.31 years
Age Range: 20.00 to 45.00 years","Patients: 26
Sequences: 26",MRI,Adult,Brain
ds000253,https://openneuro.org/datasets/ds000253/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 25.25 years
Age Range: 18.00 to 38.00 years","Patients: 20
Sequences: 20",MRI,Adult,Brain
ds000254,https://openneuro.org/datasets/ds000254/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 30.23 years
Age Range: 20.00 to 50.00 years","Patients: 13
Sequences: 13",MRI,Adult,Brain
ds000255,https://openneuro.org/datasets/ds000255/versions/00002,,,,False,,,,"Patients: 2
Sequences: 2",MRI,,Brain
ds000256,https://openneuro.org/datasets/ds000256/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 11.13 years
Age Range: 5.89 to 15.87 years","Patients: 24
Sequences: 24",MRI,Peds,Brain
ds000258,https://openneuro.org/datasets/ds000258/versions/1.0.1,,,,False,,,,"Patients: 89
Sequences: 89",MRI,,Brain
ds001021,https://openneuro.org/datasets/ds001021/versions/1.0.0,,"The enhanced Nathan Kline Institute-Rockland Sample (NKI-RS) is an ongoing, institutionally centered endeavor aimed at creating a large-scale (N > 1000) community sample of participants across the lifespan
The National Institute of Mental Health strategic plan for advancing psychiatric neuroscience calls for increased discovery science initiatives in an effort to deliniate developmental trajectories for risk and resilience across the lifespan",,True,Patient-Level,True,"Avg. Age: 59.00 years
Age Range: 59.00 to 59.00 years","Patients: 1
Sequences: 1",MRI,Adult,Brain
ds001037,https://openneuro.org/datasets/ds001037/versions/00001,,,,False,,,,"Patients: 1
Sequences: 1",MRI,,Brain
ds001105,https://openneuro.org/datasets/ds001105/versions/00001,,,,False,,,,"Patients: 28
Sequences: 28",MRI,,Brain
ds001110,https://openneuro.org/datasets/ds001110/versions/00003,,,,True,Patient-Level,True,"Avg. Age: 21.65 years
Age Range: 18.00 to 45.00 years","Patients: 37
Sequences: 37",MRI,Adult,Brain
ds001131,https://openneuro.org/datasets/ds001131/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 21.02 years
Age Range: 18.00 to 34.00 years","Patients: 54
Sequences: 54",MRI,Adult,Brain
ds001132,https://openneuro.org/datasets/ds001132/versions/1.0.0,,,,False,,,,"Patients: 16
Sequences: 16",MRI,,Brain
ds001145,https://openneuro.org/datasets/ds001145/versions/1.0.0,,,,False,,,,"Patients: 24
Sequences: 24",MRI,,Brain
ds001168,https://openneuro.org/datasets/ds001168/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 25.14 years
Age Range: 22.00 to 30.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds001178,https://openneuro.org/datasets/ds001178/versions/00002,,,,False,,,,"Patients: 23
Sequences: 23",MRI,,Brain
ds001218,https://openneuro.org/datasets/ds001218/versions/00001,,,,False,,,,"Patients: 30
Sequences: 30",MRI,,Brain
ds001226,https://openneuro.org/datasets/ds001226/versions/5.0.0,,,,True,Patient-Level,True,"Avg. Age: 55.89 years
Age Range: 31.00 to 77.00 years","Patients: 36
Sequences: 36",MRI,Adult,Brain
ds001228,https://openneuro.org/datasets/ds001228/versions/00002,,,,True,Patient-Level,True,"Avg. Age: 24.42 years
Age Range: 19.00 to 35.00 years","Patients: 24
Sequences: 24",MRI,Adult,Brain
ds001229,https://openneuro.org/datasets/ds001229/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 22.96 years
Age Range: 18.00 to 34.00 years","Patients: 27
Sequences: 27",MRI,Adult,Brain
ds001232,https://openneuro.org/datasets/ds001232/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 21.10 years
Age Range: 18.00 to 29.00 years","Patients: 21
Sequences: 21",MRI,Adult,Brain
ds001233,https://openneuro.org/datasets/ds001233/versions/00003,,,,False,,,,"Patients: 18
Sequences: 18",MRI,,Brain
ds001235,https://openneuro.org/datasets/ds001235/versions/00001,,,,False,,,,"Patients: 12
Sequences: 12",MRI,,Brain
ds001241,https://openneuro.org/datasets/ds001241/versions/1.0.1,,,,True,Patient-Level,True,"Avg. Age: 25.21 years
Age Range: 20.00 to 33.00 years","Patients: 24
Sequences: 24",MRI,Adult,Brain
ds001242,https://openneuro.org/datasets/ds001242/versions/1.0.0,,,,False,,,,"Patients: 52
Sequences: 52",MRI,,Brain
ds001246,https://openneuro.org/datasets/ds001246/versions/1.2.1,,,,False,,,,"Patients: 5
Sequences: 5",MRI,,Brain
ds001247,https://openneuro.org/datasets/ds001247/versions/00001,,,,False,,,,"Patients: 43
Sequences: 43",MRI,,Brain
ds001297,https://openneuro.org/datasets/ds001297/versions/00001,,,,True,Patient-Level,True,"Avg. Age: 23.06 years
Age Range: 19.00 to 32.00 years","Patients: 33
Sequences: 33",MRI,Adult,Brain
ds001299,https://openneuro.org/datasets/ds001299/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 25.89 years
Age Range: 18.00 to 44.00 years","Patients: 19
Sequences: 19",MRI,Adult,Brain
ds001302,https://openneuro.org/datasets/ds001302/versions/1.0.1,,,,False,,,,"Patients: 23
Sequences: 23",MRI,,Brain
ds001306,https://openneuro.org/datasets/ds001306/versions/1.0.0,https://doi.org/10.1080/13506285.2017.1339755,,,True,Patient-Level,True,"Avg. Age: 26.93 years
Age Range: 20.90 to 33.26 years","Patients: 17
Sequences: 17",MRI,Adult,Brain
ds001338,https://openneuro.org/datasets/ds001338/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 26.95 years
Age Range: 19.00 to 35.00 years","Patients: 22
Sequences: 22",MRI,Adult,Brain
ds001339,https://openneuro.org/datasets/ds001339/versions/00003,,,,False,,,,"Patients: 14
Sequences: 14",MRI,,Brain
ds001344,https://openneuro.org/datasets/ds001344/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 25.93 years
Age Range: 22.00 to 41.00 years","Patients: 15
Sequences: 15",MRI,Adult,Brain
ds001345,https://openneuro.org/datasets/ds001345/versions/1.0.0,,"## Data Acquisition

Structural and functional images were collected on a 3 Tesla Siemens TrioTim scanner equipped with an 8-channel head coil at the Center for Biomedical Imaging (CIBM) at the Univer-sity Hospital Lausanne (CHUV)",,True,Patient-Level,True,"Avg. Age: 28.06 years
Age Range: 22.00 to 34.84 years","Patients: 12
Sequences: 12",MRI,Adult,Brain
ds001353,https://openneuro.org/datasets/ds001353/versions/1.0.0,,,,True,Patient-Level,True,"Avg. Age: 26.90 years
Age Range: 19.00 to 46.00 years","Patients: 29
Sequences: 29",MRI,Adult,Brain
ds001357,https://openneuro.org/datasets/ds001357/versions/00001,,,,False,,,,"Patients: 18
Sequences: 18",MRI,,Brain
ds001365,https://openneuro.org/datasets/ds001365/versions/1.0.0,,,,True,Task/Data Description,,Age Range: 0.00 to 10.00 years,"Patients: 35
Sequences: 35",MRI,Peds,Brain
ds001371,https://openneuro.org/datasets/ds001371/versions/1.1.1,,,,True,Patient-Level,True,"Avg. Age: 19.98 years
Age Range: 14.00 to 25.00 years","Patients: 47
Sequences: 47",MRI,"Peds, Adult (>89.36%)",Brain
ds001378,https://openneuro.org/datasets/ds001378/versions/00003,,,,True,Patient-Level,True,"Avg. Age: 49.43 years
Age Range: 25.07 to 72.43 years","Patients: 25
Sequences: 25",MRI,Adult,Brain
